Address,Price,Details
"13298 Affirmed Ave, Frisco, TX 75035","$1,090,000","5 | bds | 4 | ba | 3,916 | sqft"
"3448 Archduke Dr, Frisco, TX 75034","$505,000","2 | bds | 3 | ba | 1,842 | sqft"
"14760 Falling Leaf Dr, Frisco, TX 75035","$510,000","3 | bds | 2 | ba | 2,297 | sqft"
"12310 Harvest Meadow Dr, Frisco, TX 75033","$3,500,000","5 | bds | 7 | ba | 7,148 | sqft"
"4158 Benchmark Ln, Frisco, TX 75034","$1,490,000","5 | bds | 4 | ba | 4,381 | sqft"
"3791 Broadmoor Way, Frisco, TX 75033","$3,875,000","6 | bds | 8 | ba | 7,319 | sqft"
"13808 Miranda Way, Frisco, TX 75035","$775,000","5 | bds | 4 | ba | 3,351 | sqft"
"49 Pristine Pond Dr, Frisco, TX 75034","$874,900","4 | bds | 5 | ba | 3,408 | sqft"
"5934 Shy Dr, Frisco, TX 75034","$1,850,000","5 | bds | 5 | ba | 5,236 | sqft"
"3527 Torrance Blvd, Frisco, TX 75034","$2,995,000","5 | bds | 7 | ba | 6,134 | sqft"
"6522 Scottsdale Way, Frisco, TX 75034","$480,000","3 | bds | 3 | ba | 2,191 | sqft"
"1186 Frisco Ranch Rd, Frisco, TX 75033","$689,000","4 | bds | 3 | ba | 3,018 | sqft"
"4980 Limousine Ln, Frisco, TX 75034","$1,689,573","6 | bds | 6 | ba | 4,887 | sqft"
"3515 Hickory Grove Ln, Frisco, TX 75033","$1,799,000","5 | bds | 5 | ba | 4,631 | sqft"
"1828 Idlewild Dr, Frisco, TX 75034","$850,000","4 | bds | 4 | ba | 4,666 | sqft"
"14513 Mediterranean Dr, Frisco, TX 75035","$625,000","3 | bds | 3 | ba | 2,323 | sqft"
"2707 Barnhill Ln, Frisco, TX 75034","$585,000","3 | bds | 2 | ba | 2,329 | sqft"
"6318 White Oaks Ln, Frisco, TX 75035","$499,900","4 | bds | 3 | ba | 3,017 | sqft"
"8534 Pebblebrook Dr, Frisco, TX 75034","$505,000","4 | bds | 3 | ba | 2,097 | sqft"
"6009 Westchester Ln, Frisco, TX 75034","$1,100,000","5 | bds | 4 | ba | 4,058 | sqft"
"10713 Alexandria Dr, Frisco, TX 75035","$515,000","4 | bds | 3 | ba | 2,279 | sqft"
"9103 Aristocrat Ln, Frisco, TX 75033","$499,999","4 | bds | 3 | ba | 2,825 | sqft"
"11008 Hermitage Ln, Frisco, TX 75035","$510,000","4 | bds | 3 | ba | 2,218 | sqft"
"13785 Vera Cruz Rd, Frisco, TX 75035","$695,000","3 | bds | 3 | ba | 2,512 | sqft"
"11314 Ocean Rd, Frisco, TX 75035","$395,000","3 | bds | 2 | ba | 1,519 | sqft"
"12947 Cabana Dr, Frisco, TX 75035","$730,000","4 | bds | 3 | ba | 3,045 | sqft"
"7972 Tatum Dr, Frisco, TX 75034","$450,000","3 | bds | 2 | ba | 1,701 | sqft"
"6203 Sweeney Trl, Frisco, TX 75034","$2,800,000","5 | bds | 7 | ba | 7,125 | sqft"
"6700 Carmel Valley Dr, Frisco, TX 75035","$404,900","3 | bds | 2 | ba | 1,685 | sqft"
"10967 Tall Timbers Trl, Frisco, TX 75035","$570,000","4 | bds | 3 | ba | 1,909 | sqft"
"8011 Splitbeard Rd, Frisco, TX 75035","$1,385,000","5 | bds | 5 | ba | 4,837 | sqft"
"7200 Oak St, Frisco, TX 75033","$875,000","4 | bds | 3 | ba | 2,236 | sqft"
"1920 Sandstone Dr, Frisco, TX 75034","$850,000","6 | bds | 4 | ba | 4,187 | sqft"
"11776 Harrisburg Dr, Frisco, TX 75035","$699,900","5 | bds | 4 | ba | 2,993 | sqft"
"10004 Concord Dr, Frisco, TX 75035","$499,900","3 | bds | 2 | ba | 1,623 | sqft"
"7101 Bouquet Dr, Frisco, TX 75035","$485,000","3 | bds | 2 | ba | 2,222 | sqft"
"5316 Baton Rouge Blvd, Frisco, TX 75035","$580,000","4 | bds | 2 | ba | 1,955 | sqft"
"5536 Highflyer Hills Trl, Frisco, TX 75036","$899,900","4 | bds | 3 | ba | 3,808 | sqft"
"3709 Winding Way, Frisco, TX 75035","$690,000","6 | bds | 3 | ba | 3,100 | sqft"
"3640 Sevilla Dr, Frisco, TX 75034","$600,000","4 | bds | 4 | ba | 2,225 | sqft"
"9772 Hickory St, Frisco, TX 75035","$799,000","6 | bds | 5 | ba | 4,498 | sqft"
"3567 Crosshaven Ln, Frisco, TX 75033","$849,000","4 | bds | 5 | ba | 4,080 | sqft"
"7226 Juniper Dr, Frisco, TX 75033","$485,000","4 | bds | 2 | ba | 2,319 | sqft"
"10908 Brandenberg Dr, Frisco, TX 75035","$379,900","3 | bds | 2 | ba | 1,669 | sqft"
"8977 George Cayley Ln, Frisco, TX 75034","$589,900","3 | bds | 3 | ba | 1,784 | sqft"
"8400 Hickory St UNIT 3301, Frisco, TX 75034","$349,900","3 | bds | 2 | ba | 1,656 | sqft"
"1861 Snapdragon Rd, Frisco, TX 75033","$994,900","4 | bds | 5 | ba | 3,446 | sqft"
"14875 Story Ln, Frisco, TX 75035","$930,000","5 | bds | 4 | ba | 4,283 | sqft"
"11313 Hubbard Creek Dr, Frisco, TX 75036","$474,900","3 | bds | 3 | ba | 2,506 | sqft"
"3658 Copper Point Ln, Frisco, TX 75034","$869,900","5 | bds | 4 | ba | 3,926 | sqft"
"10301 Concord Dr, Frisco, TX 75035","$409,900","3 | bds | 3 | ba | 1,869 | sqft"
"11252 Lamar Ln, Frisco, TX 75033","$900,000","5 | bds | 4 | ba | 4,262 | sqft"
"10601 Whispering Pines Dr, Frisco, TX 75033","$825,000","5 | bds | 4 | ba | 4,020 | sqft"
"11200 Williamsburg Ln, Frisco, TX 75035","$535,000","4 | bds | 2 | ba | 2,481 | sqft"
"6711 Prospero Ln, Frisco, TX 75036","$524,900","3 | bds | 2 | ba | 1,704 | sqft"
"10787 Leake Ln, Frisco, TX 75035","$1,759,990","5 | bds | 6 | ba | 4,263 | sqft"
"10508 Wintergreen Dr, Frisco, TX 75035","$1,199,999","5 | bds | 4 | ba | 4,089 | sqft"
"2499 Streamside Ct, Frisco, TX 75036","$639,000","4 | bds | 4 | ba | 3,232 | sqft"
"13650 Brownfield Ln, Frisco, TX 75035","$625,000","3 | bds | 3 | ba | 2,373 | sqft"
"12883 Possum Kingdom Dr, Frisco, TX 75033","$1,100,000","4 | bds | 5 | ba | 3,786 | sqft"
"5603 Blazing Star Rd, Frisco, TX 75036","$774,900","5 | bds | 4 | ba | 3,547 | sqft"
"11538 Corsicana Dr, Frisco, TX 75035","$685,000","5 | bds | 4 | ba | 3,498 | sqft"
"6023 Manderlay Dr, Frisco, TX 75034","$1,650,000","5 | bds | 6 | ba | 4,698 | sqft"
